id,first_name,gender,birthday,Age,abonoment_type,visit_per_week,days_per_week,attend_group_lesson,fav_group_lesson,avg_time_check_in,avg_time_check_out,avg_time_in_gym,personal_training,name_personal_trainer,marketing_channel,membership_duration_months,total_spend_amount,distance_from_gym_km,attend_special_events,monthly_visit_count,customer_satisfaction_rating,primary_fitness_goal,referral_member,visit_satisfaction_interaction,spend_duration_interaction,visit_distance_ratio,spend_per_visit
11,Conrade,Male,00:00.0,41,Premium,1,Thu,False,,13:50:00,16:45:00,72.88468050076875,False,,Flyer,9,1406.16,17.34,True,15,6.3,Muscle Gain,True,94.5,12655.44,0.8645533141210374,93.68154563624252
12,Ely,Male,00:00.0,27,Standard,3,"Mon, Sat, Tue",True,"Pilates, LesMiles, Kickboxen",10:12:00,11:43:00,68.79202216123132,False,,Referral,29,807.69,11.98,True,8,6.7,Muscle Gain,False,53.6,23423.010000000002,0.6672226855713094,100.83520599250937
13,Celine,Female,00:00.0,30,Standard,2,"Sun, Wed",True,"XCore, Spinning, LesMiles",17:04:00,18:48:00,97.93245079984196,False,,Walk-In,14,924.95,7.82,False,19,9.0,Wellness,True,171.0,12949.300000000001,2.426564495530013,48.655970541820096
14,Alie,Female,00:00.0,35,Standard,3,"Mon, Sun, Wed",False,,19:50:00,21:50:00,67.89580786648482,False,,Social Media,40,513.21,6.07,True,10,8.1,General Health,False,81.0,20528.4,1.644736842105263,51.269730269730275
15,Charmine,Female,00:00.0,35,Standard,1,Sat,False,,20:12:00,21:42:00,74.75837709899248,True,Mike,Flyer,41,777.84,4.46,False,7,9.7,Weight Loss,False,67.89999999999999,31891.440000000002,1.5659955257270695,110.96148359486449
16,Katya,Female,00:00.0,36,Standard,4,"Mon, Sat, Sun, Wed",True,"Spinning, LesMiles",17:28:00,19:49:00,95.59870452231768,False,,Social Media,22,493.18,15.36,False,18,8.4,Muscle Gain,False,151.20000000000002,10849.960000000001,1.1711125569290828,27.383675735702386
17,Chaddie,Male,00:00.0,37,Standard,3,"Mon, Sat, Sun",False,,9:25:00,10:46:00,91.32077563084856,False,,Flyer,11,192.73,8.04,False,16,7.9,Muscle Gain,False,126.4,2120.0299999999997,1.987577639751553,12.038101186758274
18,Trixy,Female,00:00.0,13,Standard,3,"Sun, Thu, Wed",False,,16:54:00,19:00:00,67.27460257902399,True,Mike,Walk-In,23,1226.72,10.47,False,6,8.1,General Health,False,48.599999999999994,28214.56,0.5725190839694656,204.11314475873544
19,Janene,Female,00:00.0,38,Standard,1,Tue,True,Pilates,10:01:00,11:35:00,70.41075841468434,True,Hanna,Email,1,1353.01,10.1,True,9,9.7,Wellness,True,87.3,1353.01,0.8902077151335313,150.16759156492785
20,Abe,Male,00:00.0,33,Standard,2,"Sat, Wed",True,"BodyPump, BodyBalance",13:55:00,16:09:00,85.32639165038172,False,,Flyer,46,1258.01,11.76,False,13,8.9,Wellness,False,115.7,57868.46,1.1045029736618521,96.695618754804
21,Biddie,Female,00:00.0,26,Standard,2,"Sat, Thu",False,,8:19:00,9:01:00,56.62960246223883,True,Hanna,Social Media,37,953.81,17.38,False,8,5.1,Weight Loss,True,40.8,35290.97,0.46003450258769407,119.07740324594256
22,Jamey,Male,00:00.0,26,Standard,3,"Fri, Mon, Sun",True,"Yoga, Pilates, Spinning",15:06:00,16:50:00,89.08219433689514,False,,Walk-In,21,790.58,19.62,True,16,7.7,Wellness,False,123.2,16602.18,0.815078960774325,49.38038725796377
23,Kimberlee,Female,00:00.0,13,Premium,2,"Thu, Tue",True,"HIT, Running, Spinning",20:56:00,22:46:00,90.64074985823369,True,Mike,Flyer,26,1733.5,8.45,False,13,8.4,Muscle Gain,False,109.2,45071.0,1.5366430260047284,133.2436587240584
24,Mar,Male,00:00.0,14,Standard,3,"Fri, Mon, Sat",False,,14:34:00,15:55:00,75.45256689760326,False,,Email,46,1062.21,16.64,True,13,8.7,Wellness,False,113.1,48861.66,0.7807807807807807,81.6456571867794
25,Bernardina,Male,00:00.0,15,Standard,1,Fri,False,,8:42:00,11:06:00,87.03997210970618,False,,Email,36,984.4,15.41,False,17,6.1,Weight Loss,False,103.69999999999999,35438.4,1.1024643320363166,57.87184009406231
26,Hew,Male,00:00.0,35,Standard,1,Fri,True,BodyBalance,13:12:00,15:13:00,72.27028527598921,False,,Referral,23,100.0,11.68,False,5,9.3,Muscle Gain,True,46.5,2300.0,0.42771599657827203,19.960079840319363
27,Kenon,Male,00:00.0,19,Standard,3,"Mon, Thu, Tue",True,"Zumba, HIT, Yoga",15:01:00,15:54:00,92.06421957933028,False,,Referral,1,715.43,19.14,True,17,9.8,Wellness,False,166.60000000000002,715.43,0.887728459530026,42.05937683715461
28,Wat,Male,00:00.0,32,Standard,5,"Fri, Mon, Sat, Thu, Wed",True,"BodyBalance, Running",19:41:00,21:46:00,67.58704463480886,False,,Social Media,40,791.38,4.41,False,9,6.2,Wellness,False,55.800000000000004,31655.2,2.0361990950226243,87.83351831298557
29,Kandy,Male,00:00.0,27,Standard,1,Tue,False,,11:25:00,12:28:00,52.20036112658181,False,,Flyer,15,827.7,2.63,False,2,9.4,General Health,True,18.8,12415.5,0.7575757575757577,411.79104477611946
30,Nissa,Female,00:00.0,21,Standard,3,"Fri, Mon, Wed",True,Spinning,20:15:00,20:47:00,85.19834490056937,False,,Flyer,21,1181.34,17.15,False,18,5.5,Weight Loss,False,99.0,24808.14,1.048951048951049,65.59355913381454
31,Keith,Male,00:00.0,36,Standard,3,"Fri, Sat, Sun",False,,10:01:00,11:18:00,53.44557853836844,False,,Referral,47,1090.52,9.06,False,9,5.3,Wellness,False,47.699999999999996,51254.44,0.992282249173098,121.03440621531631
32,Nataniel,Male,00:00.0,24,Standard,5,"Fri, Mon, Sat, Sun, Wed",False,,20:53:00,22:50:00,52.125002900812134,False,,Flyer,9,1235.41,17.02,False,6,5.6,General Health,False,33.599999999999994,11118.69,0.3523194362889019,205.55906821963396
33,Hestia,Female,00:00.0,42,Premium,3,"Fri, Mon, Thu",True,"LesMiles, Zumba, Yoga",10:23:00,11:18:00,74.64428952098838,True,Chantal,Flyer,9,1541.52,17.92,True,11,5.3,Muscle Gain,False,58.3,13873.68,0.6134969325153373,140.0108991825613
34,Trudi,Female,00:00.0,47,Premium,2,"Fri, Sat",True,"XCore, BodyPump, LesMiles",14:42:00,16:57:00,68.591470719573,True,Hanna,Email,10,1635.32,1.72,False,6,9.2,General Health,True,55.199999999999996,16353.199999999999,3.468208092485549,272.09983361064894
35,Alf,Male,00:00.0,20,Premium,5,"Fri, Sat, Thu, Tue, Wed",False,,18:15:00,20:02:00,57.14588029225227,False,,Referral,26,1450.34,17.73,True,6,5.3,General Health,True,31.799999999999997,37708.84,0.3382187147688838,241.32113144758736
36,Morie,Male,00:00.0,34,Premium,3,"Mon, Sun, Thu",True,XCore,13:39:00,16:17:00,63.59596214514474,False,,Walk-In,41,1913.27,9.24,False,13,6.4,Wellness,False,83.2,78444.06999999999,1.4054054054054055,147.06149116064566
37,Shelby,Female,00:00.0,43,Standard,5,"Fri, Mon, Sun, Tue, Wed",False,,9:02:00,10:31:00,67.63725676886358,False,,Referral,35,85.55,10.45,False,11,5.5,Wellness,False,60.5,2994.25,1.0516252390057361,7.770208900999092
38,Sibella,Male,00:00.0,40,Standard,2,"Mon, Sat",False,,8:39:00,9:27:00,78.03621193886765,False,,Walk-In,25,431.77,12.72,False,14,6.5,Wellness,True,91.0,10794.25,1.0997643362136684,30.818700927908637
39,Hercules,Male,00:00.0,44,Standard,1,Fri,False,,20:43:00,21:45:00,51.14612914622946,False,,Email,26,64.75,18.56,False,2,5.5,General Health,True,11.0,1683.5,0.10770059235325793,32.21393034825871
40,Kara,Male,00:00.0,18,Standard,2,"Sat, Thu",True,LesMiles,10:26:00,11:58:00,71.25169614016795,False,,Social Media,11,1312.58,0.87,True,8,8.3,Muscle Gain,False,66.4,14438.38,9.090909090909092,163.8676654182272
41,Samantha,Female,00:00.0,16,Premium,3,"Sat, Thu, Wed",False,,16:04:00,17:19:00,41.45532383085489,True,Hanna,Flyer,38,1801.16,9.8,False,3,5.7,Weight Loss,True,17.1,68444.08,0.3058103975535168,598.3920265780731
42,Bambie,Female,00:00.0,35,Standard,1,Sat,False,,9:38:00,12:01:00,61.488121751707446,False,,Email,2,524.79,13.91,True,3,9.3,General Health,True,27.900000000000002,1049.58,0.21551724137931036,174.34883720930233
43,Nicol,Female,00:00.0,29,Premium,1,Sat,True,BodyBalance,10:25:00,11:08:00,51.595871093486494,True,Chantal,Flyer,7,1857.72,14.59,True,1,9.1,Wellness,True,9.1,13004.04,0.0684931506849315,1839.3267326732673
44,Elizabet,Female,00:00.0,28,Standard,1,Sun,False,,11:49:00,12:21:00,69.38016050292748,True,Hanna,Social Media,18,167.52,14.0,True,19,5.1,Weight Loss,True,96.89999999999999,3015.36,1.3561741613133476,8.81220410310363
45,Sigismond,Male,00:00.0,48,Premium,2,"Fri, Wed",False,,9:57:00,11:11:00,102.07267971389417,False,,Social Media,27,1872.15,3.12,False,18,9.5,Muscle Gain,False,171.0,50548.05,5.7507987220447285,103.9505830094392
46,Aridatha,Female,00:00.0,43,Standard,4,"Fri, Mon, Thu, Tue",True,"Spinning, Pilates",18:41:00,19:50:00,75.57045680728883,True,Hanna,Email,34,735.66,6.34,True,17,5.1,Weight Loss,False,86.69999999999999,25012.44,2.677165354330709,43.24867724867724
47,Sigfrid,Male,00:00.0,35,Standard,3,"Fri, Mon, Sun",False,,15:02:00,16:02:00,84.79489765147329,False,,Social Media,27,247.77,7.49,True,13,6.2,Wellness,True,80.60000000000001,6689.79,1.7333333333333334,19.044581091468103
48,Dick,Male,00:00.0,26,Standard,5,"Fri, Sun, Thu, Tue, Wed",True,"Yoga, Zumba, Running",16:29:00,17:16:00,49.54337577022845,False,,Walk-In,17,997.45,16.19,True,3,5.2,General Health,True,15.600000000000001,16956.65,0.18518518518518515,331.37873754152827
49,Anette,Female,00:00.0,48,Standard,3,"Mon, Thu, Wed",True,"Yoga, LesMiles",11:56:00,13:52:00,57.56134999949909,True,Chantal,Social Media,43,550.71,5.94,True,1,6.7,General Health,True,6.7,23680.530000000002,0.1680672268907563,545.2574257425742
50,Nora,Male,00:00.0,44,Standard,2,"Sun, Tue",True,"BodyPump, HIT",8:54:00,11:09:00,58.17924456813211,False,,Flyer,44,605.5,4.61,False,4,7.6,Wellness,False,30.4,26642.0,0.8658008658008658,150.99750623441398
51,Maximilianus,Male,00:00.0,45,Standard,3,"Fri, Sun, Wed",False,,9:43:00,11:13:00,84.79782996433647,False,,Flyer,24,649.22,19.17,False,13,9.0,General Health,True,117.0,15581.28,0.6777893639207506,49.90161414296695
52,Nathanil,Male,00:00.0,28,Premium,2,"Fri, Tue",True,"BodyPump, XCore",20:58:00,21:45:00,80.06931152233612,False,,Flyer,25,1615.9,0.67,False,17,6.7,Wellness,False,113.9,40397.5,24.999999999999996,94.9970605526161
53,Jada,Male,00:00.0,20,Standard,2,"Mon, Sat",True,"BodyBalance, Kickboxen, Yoga",9:26:00,10:46:00,89.41561608358444,False,,Flyer,7,1101.36,19.96,False,11,8.5,General Health,False,93.5,7709.5199999999995,0.5508262393590385,100.03269754768391
54,Maud,Female,00:00.0,43,Standard,4,"Fri, Mon, Sun, Wed",True,"Pilates, BodyPump, Running",20:36:00,22:21:00,44.172045682354714,True,Mike,Walk-In,6,657.05,13.7,True,2,5.9,General Health,True,11.8,3942.2999999999997,0.14587892049598833,326.8905472636816
55,Chadd,Male,00:00.0,24,Standard,2,"Fri, Tue",True,"Spinning, XCore, BodyPump",15:49:00,17:09:00,84.45012849933404,False,,Referral,24,1240.15,16.66,False,16,8.8,General Health,True,140.8,29763.600000000002,0.9598080383923214,77.46096189881324
56,Paten,Male,00:00.0,22,Standard,3,"Fri, Thu, Wed",False,,17:13:00,19:09:00,62.78270343828102,False,,Email,33,1446.49,6.25,False,2,6.2,Muscle Gain,True,12.4,47734.17,0.3194888178913738,719.6467661691543
57,Isahella,Female,00:00.0,23,Standard,3,"Mon, Sat, Wed",False,,8:36:00,10:20:00,91.83736451819662,False,,Flyer,29,581.62,0.78,True,19,5.7,Muscle Gain,False,108.3,16866.98,24.050632911392405,30.595476065228823
58,Benton,Male,00:00.0,46,Standard,5,"Sat, Sun, Thu, Tue, Wed",True,"BodyBalance, Spinning, XCore",12:19:00,15:07:00,79.47918998261441,False,,Social Media,43,856.42,14.89,True,19,5.9,Wellness,False,112.10000000000001,36826.06,1.2751677852348993,45.05102577590741
59,Gus,Male,00:00.0,17,Standard,2,"Sun, Tue",True,"Kickboxen, Spinning, BodyPump",10:40:00,11:30:00,90.40188574369077,False,,Flyer,22,287.68,16.77,True,16,5.9,Muscle Gain,True,94.4,6328.96,0.9535160905840285,17.968769519050593
60,Lesley,Female,00:00.0,36,Standard,2,"Thu, Tue",True,"XCore, LesMiles, HIT",19:38:00,21:46:00,88.19426417634439,True,Chantal,Social Media,26,403.24,14.94,True,19,7.6,Wellness,False,144.4,10484.24,1.2709030100334449,21.211993687532875
61,Eulalie,Female,00:00.0,47,Premium,3,"Mon, Sat, Thu",False,,18:30:00,19:56:00,74.55901636276306,True,Chantal,Social Media,28,1378.18,3.29,False,9,9.2,Weight Loss,True,82.8,38589.04,2.7272727272727275,152.96115427303
62,Talia,Female,00:00.0,29,Standard,3,"Fri, Sat, Thu",False,,10:28:00,13:26:00,44.75291153764446,True,Chantal,Flyer,21,403.8,15.19,False,1,5.4,Weight Loss,False,5.4,8479.800000000001,0.06578947368421052,399.8019801980198
63,Chaddy,Male,00:00.0,30,Standard,3,"Fri, Sat, Sun",False,,17:22:00,19:20:00,75.32939655243831,False,,Walk-In,7,1074.07,15.49,True,10,8.5,Muscle Gain,False,85.0,7518.49,0.6451612903225806,107.29970029970029
64,Bridget,Female,00:00.0,22,Premium,3,"Fri, Thu, Tue",False,,10:41:00,12:03:00,83.23373004105282,True,Hanna,Social Media,17,1432.64,13.34,True,19,8.3,Weight Loss,False,157.70000000000002,24354.88,1.4232209737827717,75.36244082062072
65,Dierdre,Female,00:00.0,41,Standard,2,"Mon, Wed",False,,13:55:00,16:15:00,65.03447806293404,False,,Social Media,20,258.41,15.44,False,1,9.4,Weight Loss,False,9.4,5168.200000000001,0.06472491909385114,255.85148514851488
66,Constancia,Female,00:00.0,45,Standard,4,"Sat, Sun, Tue, Wed",False,,13:06:00,13:47:00,45.41519164541248,False,,Flyer,41,1156.26,17.0,True,2,6.2,General Health,False,12.4,47406.659999999996,0.11757789535567312,575.2537313432837
67,Arlie,Male,00:00.0,22,Standard,1,Sun,True,"Running, HIT",8:18:00,8:55:00,80.53524325895152,False,,Social Media,20,550.3,12.47,False,16,7.3,General Health,False,116.8,11006.0,1.282051282051282,34.37226733291692
68,Shelden,Male,00:00.0,20,Premium,5,"Sat, Sun, Thu, Tue, Wed",True,"Spinning, Zumba",13:04:00,13:43:00,90.46219318061463,False,,Social Media,22,1927.71,2.23,False,12,9.6,Wellness,False,115.19999999999999,42409.62,5.357142857142858,160.50874271440466
69,Carver,Male,00:00.0,33,Standard,1,Mon,True,Zumba,9:04:00,10:20:00,68.76066272035207,False,,Flyer,28,992.91,10.01,True,8,8.3,Weight Loss,False,66.4,27801.48,0.7984031936127745,123.95880149812734
70,Franky,Female,00:00.0,36,Premium,3,"Fri, Sat, Tue",False,,11:11:00,14:01:00,82.54955592946419,False,,Flyer,40,1621.69,2.01,True,18,6.9,Wellness,True,124.2,64867.600000000006,8.910891089108913,90.04386451971126
71,Vincenz,Male,00:00.0,30,Standard,5,"Fri, Mon, Sat, Sun, Thu",True,"BodyPump, Kickboxen, Running",13:04:00,14:45:00,51.28038794747644,False,,Email,7,1122.94,8.45,False,2,5.7,Wellness,True,11.4,7860.58,0.23640661938534283,558.676616915423
72,Adham,Male,00:00.0,17,Standard,1,Sun,False,,10:30:00,12:58:00,68.20867541723571,False,,Walk-In,1,134.65,8.44,False,13,6.3,Weight Loss,False,81.89999999999999,134.65,1.5384615384615385,10.349730976172175
73,Guillaume,Male,00:00.0,35,Standard,2,"Fri, Tue",False,,17:06:00,18:10:00,79.6146461464102,False,,Walk-In,32,1284.65,1.79,False,6,7.9,Muscle Gain,False,47.400000000000006,41108.8,3.333333333333333,213.75207986688855
74,Bone,Male,00:00.0,28,Premium,2,"Mon, Wed",False,,20:17:00,20:59:00,70.7777895971824,False,,Social Media,13,1905.24,7.3,False,6,8.6,Weight Loss,False,51.599999999999994,24768.12,0.8207934336525308,317.01164725457573
75,Florry,Female,00:00.0,27,Standard,5,"Fri, Mon, Sat, Tue, Wed",False,,9:57:00,11:17:00,69.55166597654168,False,,Walk-In,30,1223.14,2.66,True,9,5.6,General Health,False,50.4,36694.200000000004,3.370786516853933,135.75360710321866
76,Thaddeus,Male,00:00.0,20,Premium,1,Wed,False,,15:33:00,16:19:00,80.54828478361401,False,,Social Media,23,1647.42,16.26,False,16,8.0,Weight Loss,False,128.0,37890.66,0.9834050399508295,102.89943785134291
77,Alexine,Female,00:00.0,17,Premium,2,"Thu, Wed",False,,15:54:00,16:46:00,90.03487323101207,True,Hanna,Email,19,1774.2,18.98,False,11,7.8,Muscle Gain,False,85.8,33709.8,0.5792522380200105,161.14441416893735
78,Boigie,Male,00:00.0,33,Standard,2,"Mon, Tue",True,"Zumba, LesMiles",16:16:00,17:42:00,67.17046053501964,False,,Flyer,32,494.76,1.91,True,7,7.6,Wellness,False,53.199999999999996,15832.32,3.6458333333333335,70.57917261055636
79,Morgan,Female,00:00.0,43,Standard,5,"Fri, Mon, Sat, Sun, Tue",True,"XCore, LesMiles",12:44:00,15:05:00,67.3731680816249,False,,Flyer,30,463.49,19.12,False,10,8.5,Wellness,False,85.0,13904.7,0.5227391531625718,46.302697302697304
80,Merrily,Female,00:00.0,36,Standard,2,"Mon, Sun",True,"Yoga, Zumba, BodyPump",18:19:00,19:42:00,63.81911787777672,True,Jeffrey,Flyer,29,1241.41,10.69,True,10,9.2,General Health,True,92.0,36000.89,0.9345794392523366,124.01698301698303
81,Orv,Male,00:00.0,45,Standard,2,"Mon, Tue",False,,12:35:00,14:41:00,78.40986558952336,False,,Walk-In,45,851.51,6.34,False,18,6.6,General Health,True,118.8,38317.95,2.834645669291339,47.279844530816206
82,Sayres,Male,00:00.0,42,Premium,3,"Mon, Sat, Thu",True,"Running, BodyBalance",18:55:00,20:49:00,77.06173903672875,False,,Email,29,1687.73,2.0,True,9,9.4,General Health,False,84.60000000000001,48944.17,4.477611940298508,187.31742508324086
83,Estevan,Male,00:00.0,29,Premium,1,Thu,False,,8:33:00,9:42:00,75.38673966303904,False,,Walk-In,30,1805.05,10.26,False,15,5.8,Wellness,True,87.0,54151.5,1.4605647517039924,120.25649566955363
84,Rusty,Male,00:00.0,18,Standard,3,"Fri, Mon, Thu",True,Yoga,9:15:00,10:07:00,51.30459467357468,False,,Walk-In,16,739.17,15.99,False,4,5.9,General Health,False,23.6,11826.72,0.25,184.33167082294264
85,Crin,Male,00:00.0,32,Standard,2,"Fri, Sun",True,"HIT, Yoga, BodyBalance",19:07:00,21:39:00,60.94935317038484,False,,Email,40,511.9,14.29,False,8,6.3,Weight Loss,True,50.4,20476.0,0.5594405594405595,63.907615480649184
86,Kailey,Female,00:00.0,27,Premium,3,"Mon, Sat, Sun",True,"BodyPump, LesMiles",20:29:00,23:20:00,59.770032499499045,True,Chantal,Email,19,1572.02,1.48,True,9,5.6,Wellness,True,50.4,29868.38,6.040268456375839,174.47502774694783
87,Thorsten,Male,00:00.0,47,Standard,3,"Mon, Sat, Thu",True,"Kickboxen, XCore, HIT",12:51:00,15:37:00,85.95608566869178,False,,Email,18,585.87,1.92,False,13,6.2,Muscle Gain,False,80.60000000000001,10545.66,6.7357512953367875,45.03228285933897
88,Karolina,Male,00:00.0,15,Premium,2,"Fri, Mon",False,,11:29:00,12:20:00,52.81855150858464,False,,Email,1,1654.1,8.36,False,9,5.5,Wellness,False,49.5,1654.1,1.0752688172043012,183.58490566037736
89,Shirlee,Female,00:00.0,39,Standard,4,"Fri, Mon, Tue, Wed",True,Yoga,10:34:00,11:09:00,65.7414492876714,False,,Flyer,14,876.29,6.26,False,4,9.1,Weight Loss,True,36.4,12268.06,0.6379585326953748,218.52618453865338
90,Henrie,Female,00:00.0,46,Premium,1,Tue,False,,11:13:00,12:15:00,72.68624362068479,False,,Referral,47,1351.72,5.03,False,17,5.7,Weight Loss,False,96.9,63530.840000000004,3.373015873015873,79.46619635508524
91,Perri,Female,00:00.0,21,Standard,3,"Mon, Sun, Tue",False,,13:04:00,14:34:00,82.26729467471283,False,,Referral,2,236.29,5.98,False,16,8.7,General Health,False,139.2,472.58,2.671118530884808,14.758900687070579
92,Elvis,Male,00:00.0,31,Standard,1,Sun,True,Running,14:37:00,16:35:00,76.68115281953418,False,,Email,28,1266.53,16.17,False,15,5.2,Wellness,False,78.0,35462.84,0.9270704573547588,84.37908061292471
93,Nicolle,Female,00:00.0,40,Standard,4,"Mon, Sat, Thu, Wed",True,"BodyPump, LesMiles",9:55:00,11:28:00,59.883684615400284,False,,Referral,30,930.95,18.62,False,3,9.7,Wellness,True,29.099999999999998,27928.5,0.16103059581320447,309.28571428571433
94,Karlyn,Female,00:00.0,41,Standard,2,"Fri, Wed",True,BodyPump,16:43:00,18:16:00,63.702408830500694,True,Chantal,Referral,38,1193.89,8.4,False,5,8.6,Wellness,False,43.0,45367.82000000001,0.5945303210463734,238.30139720558884
95,Jen,Female,00:00.0,12,Standard,3,"Fri, Mon, Tue",True,"BodyBalance, XCore",10:10:00,11:35:00,69.79249200939498,False,,Email,4,377.63,18.17,False,5,5.0,Muscle Gain,False,25.0,1510.52,0.275027502750275,75.37524950099801
96,Hunt,Male,00:00.0,40,Premium,1,Mon,False,,10:28:00,12:55:00,89.39038484040837,False,,Referral,1,1486.9,6.77,False,15,8.8,General Health,True,132.0,1486.9,2.212389380530974,99.06062624916723
97,Barnebas,Male,00:00.0,29,Premium,3,"Sat, Thu, Wed",False,,14:16:00,17:13:00,84.12514843519811,False,,Walk-In,8,1732.45,9.79,False,18,7.6,Weight Loss,False,136.79999999999998,13859.6,1.8367346938775513,96.19378123264852
98,Emanuel,Male,00:00.0,19,Standard,2,"Mon, Wed",False,,16:57:00,17:48:00,83.73813470797059,False,,Social Media,29,472.64,4.91,False,15,8.9,Weight Loss,False,133.5,13706.56,3.048780487804878,31.48834110592938
99,Blondelle,Female,00:00.0,34,Standard,2,"Thu, Wed",False,,9:35:00,10:57:00,48.263985506708536,True,Hanna,Social Media,39,236.64,12.99,False,2,7.6,General Health,False,15.2,9228.96,0.15384615384615385,117.73134328358209
100,Cherise,Female,00:00.0,21,Standard,3,"Mon, Sat, Sun",False,,8:34:00,10:09:00,85.30322621133026,False,,Email,3,96.1,19.59,True,13,8.2,Weight Loss,False,106.6,288.29999999999995,0.6632653061224489,7.386625672559569
101,Giselbert,Male,00:00.0,44,Standard,3,"Fri, Mon, Sun",True,HIT,10:11:00,13:01:00,68.65675903960533,False,,Flyer,32,1301.84,12.27,False,4,8.9,Weight Loss,True,35.6,41658.88,0.32573289902280134,324.6483790523691
102,Shayna,Female,00:00.0,24,Standard,3,"Mon, Sat, Wed",True,"BodyPump, Running, XCore",17:42:00,20:23:00,71.4330113693489,True,Mike,Email,10,1233.83,7.48,False,10,7.0,General Health,True,70.0,12338.3,1.335113484646195,123.25974025974025
103,Falito,Male,00:00.0,33,Standard,5,"Fri, Sat, Thu, Tue, Wed",True,"Pilates, Kickboxen, HIT",10:29:00,12:41:00,69.9841647240457,False,,Flyer,10,1116.06,13.13,False,13,5.0,Weight Loss,False,65.0,11160.599999999999,0.989345509893455,85.7847809377402
104,Rodi,Female,00:00.0,47,Standard,2,"Fri, Sun",False,,13:19:00,15:41:00,72.92737695301288,True,Mike,Social Media,19,502.3,2.9,False,10,9.2,Wellness,False,92.0,9543.7,3.436426116838488,50.17982017982018
105,Dianemarie,Female,00:00.0,38,Standard,1,Wed,True,"BodyPump, LesMiles",9:51:00,10:35:00,67.86043778632074,True,Mike,Email,46,812.27,17.83,False,9,6.9,Muscle Gain,False,62.1,37364.42,0.5044843049327354,90.15205327413985
106,Tomkin,Male,00:00.0,12,Standard,3,"Fri, Sat, Tue",True,"Pilates, Yoga",19:57:00,20:49:00,68.80270212651905,False,,Walk-In,34,1209.23,10.31,False,8,7.5,General Health,False,60.0,41113.82,0.7751937984496123,150.96504369538079
107,Shawnee,Female,00:00.0,21,Standard,2,"Mon, Sat",False,,20:13:00,22:42:00,60.44278936810697,False,,Referral,33,1018.7,9.26,False,3,5.0,Muscle Gain,True,15.0,33617.1,0.3236245954692557,338.4385382059801
